headline,label
in the baltic countries development of operations and reorganisation continued and non recurring items related to the takeover process lowered earnings,negative
talvivaara has secured a 10 year off take agreement for 100 per cent of its main output of nickel and cobalt to norilsk nickel and entered into a long term zinc streaming agreement with nyrstar nv,positive
within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia,positive
technical indicators for the stock are bullish and s&p gives nok a positive 4 stars out of 5 buy ranking,positive
a filter is used to pre process packets to determine if they need to be further processed by the processor of the network device,neutral
previously the company anticipated its operating profit to improve over the same period,positive
telecom has a foreign investment limit of 74 but it appears that mobile vas does not which means that tecnomen can pick up as much as 96 6,neutral
the oil shale feeder supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel enefit 280 shale oil technology processing plant,neutral
in addition to software development the new design unit will provide for mechanical engineering and electronics design,neutral
aspocomp has repaid its interest bearing liability to standard chartered bank and will use the rest of the consideration to partially repay its interest bearing liabilities in finland and to improve its liquidity,positive
these restrictions do not apply to statutory dividends,neutral
he is a member of the board of numerous com panies and a shareholder of the boardman ltd board specialist net work,neutral
the works will include the laying of natural stone pavements and the installation of underground heating and surface water drainage systems,neutral
in addition to supplying a new headbox and a modern sizing and coating unit vaahto group will provide erection supervision training and start up services,neutral
eq bank forecasts olvi s net sales at eur 67mn in the second quarter of 2009 and operating profit at eur 6 4 mn,neutral
return on investment roi was 4 1 compared to 43 8 in the first half of 2008,negative
finnish ahlstrom corporation will double its investments in a new specialty glassfiber reinforcement plant in south carolina in the us,positive
the airline estimated that the cancellation of its flights due to the closure of european airspace and the process of recommencing traffic have caused a the company a loss of eur20m including the costs of stranded passengers accommodation,negative
inha works has invested in its product development and market research,neutral
according to mark white locatrix communications ceo the company s web services interface allows device owners friends and family to track and locate twig users via any web browser,neutral
the share capital of basware corporation is 11 720 829,neutral
as defences mature attackers develop trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing screen shots video captures keylogging and injection of form fields,neutral
koff s market share of the volume of the market was 23 4 karhu s 21 4,neutral
we ve been feeling quite positive about the region as a whole,positive
the network test business is part of elektrobit s test and automation business segment and employs 39 people in finland and 22 people abroad mainly in the us and asia,neutral
emsa deputy chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not informed the estonian union yet,negative
the total amount of subscription prices was recorded in the fund for invested non restricted equity,neutral
aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of rs310 crore,neutral
however the proportion of the paid standing orders grew in 2009,positive
the broad based wig index ended thursday s session 0 1 pct up at 65 003 34 pts while the blue chip wig20 was 1 13 down at 3 687 15 pts,neutral
russian export duties will activate harvesting in finland and sales in russia will increase also,positive
srv lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales,negative
finnish bore that is owned by the rettig family has grown recently through the acquisition of smaller shipping companies,positive
operating result for the 12 month period decreased from the profit of eur0 4 m while turnover decreased from eur5 6 m as compared to 2004,negative
the sale of the food potato business is part of raisio s plan to streamline and clarify its business operations,neutral
russia s top container shipping group fesco and finnish logistics company nurminen logistics have started a pilot project offering clients direct intermodal transportation service from finland to asia pacific countries fesco said in a statement,positive
about 36 of this came from aspo chemicals 39 from aspo shipping and 25 from aspo systems,neutral
seppala transferred the sale to a greater extent than last year to february and this is reflected on the january sales figures,neutral
the finnish company sold its uk operation consisting of 50 staff in offices in london birmingham and manchester as part of a deal with hampden in july 2001 for its european wide property and casualty arm sampo industrial,neutral
it makes a wide range of mobile devices with services and software that enable people to experience music navigation video television imaging games and business mobility,neutral
destia oy is a finnish infrastructure and construction service company building maintaining and designing traffic routes industrial and traffic environments but also complete living environments,neutral
finnish metal products company componenta oyj net profit went slightly down to 25 1 mln euro $ 40 2 mln for the first half of 2008 from 25 4 mln euro $ 40 7 mln for the same period of 2007,negative
the change in holdings in accordance with chapter 2 section 9 of the finnish securities markets act is described below,neutral
many of the commercial vessels had got stuck in the narrow bay of bothnia where the ice is thicker and around the aaland islands,negative
strong growth has continued also in china,positive
the transaction will have a positive impact of around eur2m on earnings which ruukki will recognize during the fourth quarter of this year,positive
revenue grew 12 percent to x20ac 3 6 billion us$ 4 5 billion,positive
beef imports fell slightly from 2006 to 14mn kilos,neutral
in finland op pohjola s staff union is boycotting the group s insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages,negative
growth is expected to continue in 2008,positive
rimvesta is now controlled by the estonian owned real estate development company ell nekilnojamas turtas which a member of merko the largest construction group in the baltic countries,neutral
operating profit excluding non recurring items decreased to eur 6 2 mn from eur 16 8 mn in 2007 representing 2 3 of net sales,negative
the markets expect heineken to sell hartwall as a whole or in parts,neutral
it is a member of the oneworld alliance which includes american airlines and british airways,neutral
a total of 750 330 new citycon shares with a nominal value of eur 1 35 per share were subscribed in december exercising the a b c options based on the company s stock option plan 1999,neutral
the train is expected to cross the russian territory in 9 days reaching the vostochny port,neutral
the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance in the maximum,neutral
poyry plc additional information by : martin kuzaj president industry business group finland tel +358 10 33 21179 sanna paivaniemi director investor relations poyry plc finland tel +358 10 33 23002 poyry is a global consulting and engineering company dedicated to balanced sustainability,neutral
the deliveries are scheduled for the summer and autumn of 2008,neutral
aldata solution oyj thomas hoyer cfo more information : aldata solution oyj thomas hoyer cfo tel +358 45 670 0491 aldata in brief aldata solution is one of the global leaders in supply chain software for retail wholesale and logistics companies,neutral
to our members and partners the use of it will mostly be apparent in the increased efficiency of the results service observes perttu puro from tradeka,positive
the company s board of directors has proposed a dividend of eur0 12 per share for 2006,neutral
in 2009 kone had annual net sales of eur 4 7 billion and approximately 34 000 employees,neutral
the company operates its business through two reportable segments including banking and investment services and non life insurance,neutral
recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008,neutral
the firm builds components for mobile phones and other communications products,neutral
technopolis has finnish operations in oulu vantaa espoo lappeenranta jyvaskyla and tampere and is also preparing to expand its operations to russia,neutral
the stock price rose 70 0 ores or 0 9 to close at sek77 65 ending a two day streak of losses,positive
the contract value amounts to eur 2 4 million,neutral
adpnews oct 21 2009 finland based it consultancy tieto oyj hel : tie1v said today its net profit plunged to eur 29 4 million usd 43 9 m for the first nine months of 2009 from eur 58 7 million for the same period o,negative
ponsse will divide its sales and maintenance service network into six geographical areas,neutral
m real which is part of finnish paper maker metsaliitto group is due to release its second quarter report at around 12:00 eet on 5 august 2010,neutral
its market share widened to 48 51 percent from 48 31 percent a year earlier,positive
adp news feb 12 2009 finnish construction company lemminkainen oyj hel : lem1s said today its net profit decreased to eur 63 5 million usd 81 1 m for 2008 from eur 80 6 million for 2007,negative
it also includes the installation of new equipment training and start up services as well as service work of the shoe press delivered by vaahto in 2001,neutral
in the fourth quarter of 2009 orion s net profit went up by 33 8 year on year to eur33m,positive
in accordance with the terms and conditions of alma media s 2006 option program the share subscription price for the 2006a option rights was eur 4 88 per share and the book countervalue eur 0 60 per share,neutral
south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish m real corporation s graphic papers business unit,positive
m real corporation stock exchange release 27 august 2009 at 3 15 pm m real has received the eur 190 million cash payment from sappi m real corporation a part of mets+ñliitto group divested its graphic papers business to sappi limited at the end of 2008 for eur 750 million,neutral
salcomp s charger manufacturing plant in india is located in the nokia telecom park in the state of tamil nadu in the eastern part of india,neutral
operating profit was eur 139 7 mn up 23 from eur 113 8 mn,positive
the new plant is planned to have an electricity generation capacity of up to 350 megawatts mw and the same heat generation capacity,neutral
seventy three of those also have more extensive training in products built on the latest archestra technologies such as the wonderware system platform,neutral
storengy is the gdf suez company that is dedicated to the underground storage of natural gas,neutral
name of applicant : jot automation oyname of inventor : mammila tuomo piirainen mika and kellokoski mikaapplication no : 2424 kolnp 2008 adate of filing of application : 16 06 2008publication date : 30 01 2009,neutral
donations to universities the annual general meeting authorized the board of directors to donate max,neutral
marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,neutral
biohit and vwr have been in close cooperation for a number of years in the us where biohit is one of vwr s focus suppliers,positive
adp news feb 11 2009 finnish wood products technology supplier raute oyj hel : rutav said today its net profit decreased to eur 4 7 million usd 6 1 m for 2008 from eur 6 6 million for 2007,negative
the company s share is listed in the mid cap segment of the nasdaq omx helsinki,neutral
nokia is also negotiating the product portfolio of the new company,neutral
finnish rautaruukki has been awarded a contract to supply and install steel superstructures for the partihallsf+ârbindelsen bridge in gothenburg in sweden,positive
simmons elected dcuc chairman portsmouth n h gordon a simmons ceo of service credit union has been elected chairman of the defense credit union council for the 2007 2008 term,neutral
from merisatama to the far corners of the world asfaltti osakeyhti+â lemmink+ñinen was established in 1910 by a group of master builders in helsinki as a specialist business and subcontractor,neutral
global markets direct s pohjola bank plc financial analysis review is an in depth business financial analysis of pohjola bank plc,neutral
the board of directors proposes to the shareholders meeting on 18 march 2010 that the company would pay dividend for the financial year january 1 december 31 2009 eur 0 02 per share,neutral
lcs s services cover the whole life cycle of software and information systems from process modelling and tailored software development to hosting services solution management maintenance and support,neutral
the value of the order is eur 2 5 mn,neutral
nordea group s operating profit increased in 2010 by 18 percent year on year to 3 64 billion euros and total revenue by 3 percent to 9 33 billion euros,positive
the 718 430 new series a shares will become subject to trading on the helsinki stock exchange s main list together with the old series a shares on july 3 2006,neutral
ruukki signed the contract with norwegian company veidekke entreprenor as,positive
xerox and stora enso have teamed up to tailor the igen3 to the short run on demand packaging market,positive
the company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market,positive
operating profit excluding non recurring items increased by 27 to eur 81 9 mn from eur 64 4 mn in the corresponding period in 2008,positive
the port facilities throughput is 250 000 teus and 7 5 mln tons of general cargo,neutral
in finland snow storms brought trees down on power lines cutting off electricity for some 2 000 households,negative
operating profit totalled eur 5 8 mn up from a loss of eur 1 7 mn in the fourth quarter of 2009,positive
sdm offers general rental equipment aluminium scaffolding power generator and hoists to customers in the construction sector,neutral
as a result it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms,neutral
speaking to just drinks today a spokesperson for olvi said : we have performed very well in all four countries we operate in namely finland estonia latvia and lithuania,positive
elcoteq s global service offering covers the entire lifecycle of products from product development to after market services,neutral
rohwedder group is an automotive supplies telecommunications and electronics industry provider for customers in europe north america and asia,neutral
the buildings with about 40 condominiums each will be built in 4 or 5 stages,neutral
the chf is a great product,positive
metsaliitto however narrowed its net loss for the second quarter of 2007 to 5 0 mln euro $ 6 9 mln from 61 mln euro $ 83 7 mln a year ago,positive
both operating profit and turnover for the six month period increased respectively from eur17 6 m and eur1149 9 m as compared to the corresponding period in 2007,positive
the business had gross written premiums of eur152 4 m 91 5 m in 2000 a net combined ratio of 133 and 175 staff in total with offices in the uk germany and benelux,neutral
the company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive,positive
+£lemiste city is the environment for a knowledge based economy providing work for 3 300 people with the total turnover of its companies amounting to eek 5 4 bn said +£lo p+ñrnits chairman of the supervisory board of +£lemiste city and mainor,neutral
after the transaction tikkurila has no powder coatings related operations,neutral
the group s cash flow from operations will be positive,positive
the company also equipped the sculptural complex rabochy i kolkhoznitsa a worker and a collective farmer in moscow with snow melting system,neutral
ahlstrom headquartered in helsinki finland is a global company involved in the development manufacture and marketing of high performance fibre based materials,neutral
the lithuanian beer market made up 14 41 million liters in january a rise of 0 8 percent from the year earlier figure the lithuanian brewers association reporting citing the results from its members,positive
taking a cue from the playbook of the east dillon lions we ve created a special team of heavy hitting style players such as boot cut jeans tummy tops and of course cowboy boots,neutral
the size of the extension 18 5 of which already has been let will have a gross area of about 2 830 sq m 30 460 sq ft,neutral
vaahto pulp & paper of finnish vaahto group has been awarded an order to renovate finnish swedish forest industry company stora enso s paperboard machine at the ingerois board mill in finland,positive
pharmaceuticals belgium this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in belgium,neutral
following the registration the number of issued and outstanding shares of basware is 12 890 829,neutral
arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces,negative
so mr galvan made savings adjustments of his own buying less liquor and watching portion sizes,neutral
later on about 150 finnish made houses will be build in the area,neutral
estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011,neutral
in finland sampo bank now part of the danske bank group will lay off staff from the administrative and support functions,negative
the four year contract between the bank and ski sport finland will bring the bank s advertisements to skiers helmets and caps,neutral
systeemitiimi s sales and project resources will also be strengthened director paul skogberg said,positive
fiskars has a strong portfolio of international brands which include fiskars iittala gerber silva and buster,positive
the ea reng group posted sales of approximately 84 million kroons for 2007,neutral
in 2009 lee & man had a combined annual production capacity of close to 4 5 million tonnes of paper and 300 000 tonnes of pulp,neutral
sales came in at 241 mln eur compared with 211 4 mln and also beating consensus forecasts of 235 mln eur,positive
quarterly diluted eps on continuing operations came in at 0 21 eur compared with last year s 0 12 eur,positive
the transaction strengthens our position in design and branded goods said fiskars president and ceo heikki allonen pointing out that the two groups have relatively few overlapping operations,positive
by separating side businesses we will be able to faster expand and develop tapro retail network,positive
kemira s partner in the project is st petersburg water works,neutral
the order includes a steel frame load bearing roof structures and partition wall elements and rautaruukki said it expects to complete installation as early as may next year,neutral
we are delighted to welcome elisa to our board of directors said garry mcguire ceo of rmg networks,positive
finnish aktia group s operating profit rose to eur 17 5 mn in the first quarter of 2010 from eur 8 2 mn in the first quarter of 2009,positive
nevertheless its market share rose to 49 14 percent from 48 51 percent a year earlier,positive
technopolis plans to develop in stages an area of no less than 100 000 square meters in order to host companies working in computer technologies and telecommunications the statement said,neutral
this order when delivered will bring the total output of electricity in italy generated by wartsila equipment to more than 1 300 mw,neutral
m real corporation press release on 3 november at 10:35 am m real corporation was the second best company in the materials sector including e g forest industry companies in the carbon disclosure leadership index cdli nordic report 2009,positive
total value of the contract is about eur 10mn,neutral
in 2006 the company s net sales amounted to approximately eur259m and it has some 8 000 employees,neutral
there are no substitutes to ac drives,neutral
the carrier said its area travel agency is to sell most of its outlets to sister chain suomen matkatoimisto smt and use its remaining bricks and mortar presence to primarily target business customers going forward,neutral
with the acquisition the company will expand its offering to north central and south america it said,positive
elisa has commissioned finland s poyry telecom oy to conduct a study of reception in some of estonia s largest cities besides tallinn,neutral
atria said its offer would give the swedish company continued ownership and control of its slaughtering and cutting operations,neutral
in 2007 almost two thirds of orion s net sales came from these drugs,neutral
this corresponds to 6 81 percent of okmetic s share capital and voting rights,neutral
net income from life insurance rose to eur 16 5 mn from eur 14 0 mn and net income from non life insurance to eur 22 6 mn from eur 15 2 mn in 2009,positive
the aim is to achieve eur 2 5 mn yearly savings,positive
he answers questions on how many visitors conversations gets how big the team is and what the problems are when setting up social media channels,neutral
the company does not disclose the sum it applied for,neutral
upm kymmene www upm kymmene com produces magazine papers and newsprint as well as fine and specialty papers converting materials and wood products,neutral
exports grew 16 5 percent to 19 1 million liters,positive
panostaja did not disclose the purchase price,neutral
ebitda for the year 2009 improved to eur484m as compared with eur472m in 2008,positive
