headline,label
royal mail share price edges lower as group raises stamp price,negative
amazon s grocery deal with morrisons is only the beginning,positive
shell and bg shareholders to vote on deal at end of january,neutral
royal mail turnaround proving expensive in tough uk market,negative
meggitt share price tumbles as profit falls in challenging year,negative
hsbc hit by fresh details of tax evasion claims,negative
novartis buys remaining rights to gsk treatment in deal up to $1 billion,positive
easyjet dismisses lufthansa low cost plan in contest for germany,negative
ab inbev attacks sabmiller bid rebuffal,negative
bg group appoints new ceo one month early,positive
royal mail gets mixed bag from ofcom postal regulation report,negative
how kraft heinz merger came together in speedy 10 weeks,positive
arm profits and sales up as shift away from mobile gains pace,positive
tesco sells half of stake in ecommerce site lazada to alibaba for â£90m,negative
rbs chairman admits surprise at size of regulatory penalties,negative
l&g still paying price for dividend cut during crisis chief says,negative
tesco sales rise shows tentative recovery continues,positive
new credit suisse boss faces stiff challenge in asia,negative
sainsbury sales slip again as price pressures take a toll,negative
refile update 4 britain s lloyds to pay first dividend since rescue,positive
update 1 pearson expects to grow this year after solid end to 2014,positive
shell to buy bg group in $69 7 billion takeover,positive
diageo receives reports from united spirits on financial irregularities involving,negative
hsbc shakes up board with two new business chiefs three departures,negative
standard chartered shifts emerging markets strategy after losses,negative
buffett s berkshire builds deere stake dumps exxon,positive
hsbc says unit to book $585 million charge on settlement,negative
auto trader share price surges as company floats on lse,positive
hargreaves lansdown bucks weak markets to see assets rise 2 6 percent,positive
mylan appoints ranjan ray chaudhuri as global commercial lead for mylan s over,neutral
bhp billiton drags ftse lower after slashing dividend,negative
nyse owner ice considers offer for lse,positive
ice said to start lining up financing for lse bidding war,positive
lse gets hong kong regulatory nod to hk firms to become lse members,positive
caixabank dos santos agree on plan for bpi angola exposure,positive
lse deutsche boerse merger would signal end to exchange mega deals,positive
centrica extends gas deals with gazprom statoil,positive
easyjet expects resilient demand to withstand security fears,positive
standard chartered s shares plunge 7 after fitch downgrade,negative
news feedschroders books solid earnings growth several board changes,positive
insurers: admiral blows hot and cold but aviva soars pre friends life merger,positive
peroni and grolsch put up for sale as ab inbev plans acquisition of sabmiller,positive
ab inbev looks to win over sabmiller investors,positive
aviva friends life top forecasts ahead of 5 6 billion pound merger,positive
shire says internal synergy goals from baxalta deal higher,positive
brief legal & general s retirement business books 4 billion stg h1 sales,positive
update 1 nomura rbs must pay $806 mln in mortgage bond case us judge,negative
astrazeneca diabetes drug combination faces delay after fda rebuff,negative
stakes high for astrazeneca heart drug facing tough competition,negative
tesco share price jumps as q3 sales top estimates,positive
breakingviews: iag can pay more for aer lingus,positive
wpp wins race for programmatic buying agency essence digital,positive
tesco closes in on new chairman with dixons carphone s john allan in the frame,positive
marketsshire up 2 5 and baxalta up 6 on $32bn deal,positive
shares in bae systems hit 10 month high on rating upgrade,positive
glaxosmithkline targets growth across units scraps viiv ipo,positive
buffett s company reports 37 percent drop in 2q earnings,negative
bunzl lifts dividend again as acquisitions continue to boost profits,positive
update 1 bhp billiton s credit ratings fragile in fy16 agencies warn,negative
ab inbev to sell more sab assets as seeks eu deal approval,negative
spain s caixabank expects to close deal for banco bpi,positive
whitbread boss andy harrison defends sales fall as just a blip,negative
broker tips: rbs croda sage,positive
supreme court upholds $236 million jury award against exxonmobil,negative
petrofac books further â£30m cost for shetland gas terminal delays,negative
shire share price under pressure after $32bn baxalta deal,negative
should you buy jumbo yielders british american tobacco plc centrica plc & john wood group plc,positive
dbs julius baer emerge as potential bidders for barclays asia wealth unit,positive
british american tobacco drops and sues pwc over pollution scandal,negative
nine banks including barclays citi agree to pay $2 billion to settle forex,negative
ab inbev offers sabmiller $3 billion breakup fee,positive
britain s ftse outperforms europe royal mail and tesco rise,positive
industry newswolseley confident in reslilience amid mixed markets,positive
japan s nikkei lands financial times in $1 3 billion deal,positive
royal dutch shell profit rises; dividend up 4,positive
standard chartered lags on capital worries,negative
update 3 auto trader shares leap in uk s biggest private equity backed listing,positive
aberdeen asset management gains foothold in china,positive
ftse falls to 3 month low on greek debt concerns easyjet skids,negative
bae systems s sales boosted by european typhoon and currencies,positive
kingfisher share price slides on cost to implement new strategy,negative
update 1 cypress semiconductor offers to buy integrated silicon solution,positive
ftse 100 flat; standard chartered leads risers,positive
merged lse and deutsche bã¶rse would be led by germany s kengeter,positive
tesco sells blinkbox and broadband service to talktalk,positive
ftse 100 falls as china devaluation hits burberry mining stocks,negative
irish said chasing standard chartered rbs as brexit vote nears,positive
standard chartered not raising capital yet as dividend cut,negative
eu regulator backs approval for gsk injectable asthma drug,positive
brewer ab inbev seeks $275 bln tie up with sabmiller,positive
severn trent share price jumps as canadian investor renews pursuit of utility,positive
tesco share price tumbles after negative broker note,negative
companiesactelion shares hit record on shire takeover talk,positive
morrisons faces festive sales test,negative
companiesmeggitt profits hit by weak energy and military markets,negative
arm holdings plc partners with international business machines corp to drive,positive
2 turnaround buys for 2016 bhp billiton plc and home retail group plc,positive
sainsbury s says to outperform rivals in tough market,positive
standard chartered rbs escape capital raising in stress test,positive
barclays poised to replace sir mike rake as he heads for exit,positive
tesco leads ftse higher on clubcard bid reports,positive
tesco asda sales fall as march of the discounters continues: kantar,negative
legal & general arm buys 50 pct stake in mediacityuk in manchester,positive
sabmiller revenue hit by weaker em currencies,negative
update: persimmon profit up strongly outlook positive,positive
berkshire seeks to boost its wells fargo stake above 10 percent,positive
astrazeneca s medimmune inks licensing deal with omnis pharmaceuticals,positive
astrazeneca weighing up acerta bid to secure blood cancer drug,positive
marketsbp promotes upstream boss to deputy ceo,positive
british american tobacco first half sales hurt by currency moves,negative
gsk and novartis complete deals to reshape both drugmakers,positive
u k stocks little changed near record as barclays shell fall,negative
rolls royce wins $9 2 billion order from emirates airline,positive
news feedftse 100 movers: lse surges as ice says mulling offer; ashtead and barclays tank,positive
philippines san miguel says to partner with kirin if it bids for sabmiller s,positive
astrazeneca sells caprelsa rights to sanofi unit,positive
lloyds banking group s share price lifts amid reports bank is poised to axe hundreds of uk jobs,positive
easyjet attracts more passengers in june but still lags ryanair,positive
corrected shire to buy dyax for about $5 9 bln,positive
city spirits sink after diageo comes up short with sales slide,negative
rio tinto ceo says iron ore market at equilibrium,neutral
update 1 eu regulator backs approval for gsk injectable asthma drug,positive
anheuser busch inbev increases offer for rival sabmiller,positive
update 1 bp shareholders back more disclosure on climate change risks,positive
germanwings disaster will not affect image of budget air travel easyjet,negative
u k stocks resume gains to rally to record; crh tullow climb,positive
rsa insurance hires towergate s egan as chief financial officer,positive
unilever profit rises despite sales slump in china,positive
update: cib legal & general sell egyptian life joint venture to axa,positive
eli lilly & co lly has broken out to a new high on astrazeneca collaboration,positive
valeant ceo pledges to heed critics after painful experience,negative
is it worth investing in tesco plc and prudential plc now,positive
update 1 astrazeneca sells rare cancer drug to sanofi for up to $300 mln,positive
companiestravis perkins lifts dividend earnings rise 15,positive
fastjet slams easyjet founder stelios for going public is taking legal advice over letter about contractual,negative
shire to buy nps for $5 2 billion to boost rare disease drugs,positive
millercoors delivers 2 9 underlying net income growth for 2014,positive
itv share price: group mulls takeover of canada s entertainment one,positive
uk winners & losers: aviva and friends life lead ftse 100 gainers,positive
hsbc appoints business leaders to board,positive
arm royalties accelerate as smartphone market regains strength,positive
bg group still happy with shell s $70 billion offer,positive
european shares plunge roiled by bhp and oil; hopes turn to ecb,negative
update 1 astrazeneca buys zs pharma for $2 7 billion pips actelion,positive
ab inbev s latest bid said unlikely to win sabmiller s approval,positive
ab inbev approaches sabmiller to explore $250bn tie up,positive
insight hires aviva s david hillier for multi asset team,positive
astrazeneca chases acerta to secure next cancer drug winner,positive
zurich insurance considering offer for uk rival rsa insurance,positive
glaxosmithkline share price slips as fda okays asthma therapy only for adults,negative
sanofi poaches astrazeneca scientist as new research head,positive
astrazeneca acquires zs pharma in $2 7 billion deal,positive
aviva m&g suspend property funds as investors panic,negative
easyjet leads britain s ftse lower as global bond rout resumes,negative
metals zinc surges 12 pct after glencore cuts output fuelling metals rally,positive
after barclays and bank of america citigroup has blockchain in sight,positive
are aviva plc direct line insurance group plc and admiral group plc set to soar,positive
