sentiment,entity,directional_word
positive,company,acceler
positive,company,advanc
positive,company,award
positive,company,better
positive,company,climb
positive,company,doubl
positive,company,faster
positive,company,gain
positive,company,grow
positive,company,higher
positive,company,increas
positive,company,jump
positive,company,quicken
positive,company,rebound
positive,company,recov
positive,company,rise
positive,company,rose
positive,company,step-up
positive,company,surg
positive,company,up
positive,pct,acceler
positive,pct,advanc
positive,pct,award
positive,pct,better
positive,pct,climb
positive,pct,doubl
positive,pct,faster
positive,pct,gain
positive,pct,grow
positive,pct,higher
positive,pct,increas
positive,pct,jump
positive,pct,quicken
positive,pct,rebound
positive,pct,recov
positive,pct,rise
positive,pct,rose
positive,pct,step-up
positive,pct,surg
positive,pct,up
positive,technology,acceler
positive,technology,advanc
positive,technology,award
positive,technology,better
positive,technology,climb
positive,technology,doubl
positive,technology,faster
positive,technology,gain
positive,technology,grow
positive,technology,higher
positive,technology,increas
positive,technology,jump
positive,technology,quicken
positive,technology,rebound
positive,technology,recov
positive,technology,rise
positive,technology,rose
positive,technology,step-up
positive,technology,surg
positive,technology,up
positive,konecranes,acceler
positive,konecranes,advanc
positive,konecranes,award
positive,konecranes,better
positive,konecranes,climb
positive,konecranes,doubl
positive,konecranes,faster
positive,konecranes,gain
positive,konecranes,grow
positive,konecranes,higher
positive,konecranes,increas
positive,konecranes,jump
positive,konecranes,quicken
positive,konecranes,rebound
positive,konecranes,recov
positive,konecranes,rise
positive,konecranes,rose
positive,konecranes,step-up
positive,konecranes,surg
positive,konecranes,up
positive,value,acceler
positive,value,advanc
positive,value,award
positive,value,better
positive,value,climb
positive,value,doubl
positive,value,faster
positive,value,gain
positive,value,grow
positive,value,higher
positive,value,increas
positive,value,jump
positive,value,quicken
positive,value,rebound
positive,value,recov
positive,value,rise
positive,value,rose
positive,value,step-up
positive,value,surg
positive,value,up
positive,sale,acceler
positive,sale,advanc
positive,sale,award
positive,sale,better
positive,sale,climb
positive,sale,doubl
positive,sale,faster
positive,sale,gain
positive,sale,grow
positive,sale,higher
positive,sale,increas
positive,sale,jump
positive,sale,quicken
positive,sale,rebound
positive,sale,recov
positive,sale,rise
positive,sale,rose
positive,sale,step-up
positive,sale,surg
positive,sale,up
positive,news,acceler
positive,news,advanc
positive,news,award
positive,news,better
positive,news,climb
positive,news,doubl
positive,news,faster
positive,news,gain
positive,news,grow
positive,news,higher
positive,news,increas
positive,news,jump
positive,news,quicken
positive,news,rebound
positive,news,recov
positive,news,rise
positive,news,rose
positive,news,step-up
positive,news,surg
positive,news,up
positive,operating,acceler
positive,operating,advanc
positive,operating,award
positive,operating,better
