sentiment,entity,directional_word
positive,item,acceler
positive,item,advanc
positive,item,award
positive,item,better
positive,item,climb
positive,item,doubl
positive,item,faster
positive,item,gain
positive,item,grow
positive,item,higher
positive,item,increas
positive,item,jump
positive,item,quicken
positive,item,rebound
positive,item,recov
positive,item,rise
positive,item,rose
positive,item,step-up
positive,item,surg
positive,item,up
positive,order,acceler
positive,order,advanc
positive,order,award
positive,order,better
positive,order,climb
positive,order,doubl
positive,order,faster
positive,order,gain
positive,order,grow
positive,order,higher
positive,order,increas
positive,order,jump
positive,order,quicken
positive,order,rebound
positive,order,recov
positive,order,rise
positive,order,rose
positive,order,step-up
positive,order,surg
positive,order,up
positive,world,acceler
positive,world,advanc
positive,world,award
positive,world,better
positive,world,climb
positive,world,doubl
positive,world,faster
positive,world,gain
positive,world,grow
positive,world,higher
positive,world,increas
positive,world,jump
positive,world,quicken
positive,world,rebound
positive,world,recov
positive,world,rise
positive,world,rose
positive,world,step-up
positive,world,surg
positive,world,up
positive,profit,acceler
positive,profit,advanc
positive,profit,award
positive,profit,better
positive,profit,climb
positive,profit,doubl
positive,profit,faster
positive,profit,gain
positive,profit,grow
positive,profit,higher
positive,profit,increas
positive,profit,jump
positive,profit,quicken
positive,profit,rebound
positive,profit,recov
positive,profit,rise
positive,profit,rose
positive,profit,step-up
positive,profit,surg
positive,profit,up
positive,sale,acceler
positive,sale,advanc
positive,sale,award
positive,sale,better
positive,sale,climb
positive,sale,doubl
positive,sale,faster
positive,sale,gain
positive,sale,grow
positive,sale,higher
positive,sale,increas
positive,sale,jump
positive,sale,quicken
positive,sale,rebound
positive,sale,recov
positive,sale,rise
positive,sale,rose
positive,sale,step-up
positive,sale,surg
positive,sale,up
positive,september,acceler
positive,september,advanc
positive,september,award
positive,september,better
positive,september,climb
positive,september,doubl
positive,september,faster
positive,september,gain
positive,september,grow
positive,september,higher
positive,september,increas
positive,september,jump
positive,september,quicken
positive,september,rebound
positive,september,recov
positive,september,rise
positive,september,rose
positive,september,step-up
positive,september,surg
positive,september,up
positive,contract,acceler
positive,contract,advanc
positive,contract,award
positive,contract,better
positive,contract,climb
positive,contract,doubl
positive,contract,faster
positive,contract,gain
positive,contract,grow
positive,contract,higher
positive,contract,increas
positive,contract,jump
positive,contract,quicken
positive,contract,rebound
positive,contract,recov
positive,contract,rise
positive,contract,rose
positive,contract,step-up
positive,contract,surg
positive,contract,up
positive,period,acceler
positive,period,advanc
positive,period,award
positive,period,better
positive,period,climb
positive,period,doubl
positive,period,faster
positive,period,gain
positive,period,grow
positive,period,higher
positive,period,increas
positive,period,jump
positive,period,quicken
positive,period,rebound
positive,period,recov
positive,period,rise
positive,period,rose
positive,period,step-up
positive,period,surg
positive,period,up
positive,mln,acceler
positive,mln,advanc
positive,mln,award
positive,mln,better
positive,mln,climb
positive,mln,doubl
positive,mln,faster
positive,mln,gain
positive,mln,grow
positive,mln,higher
positive,mln,increas
positive,mln,jump
positive,mln,quicken
positive,mln,rebound
positive,mln,recov
positive,mln,rise
positive,mln,rose
positive,mln,step-up
positive,mln,surg
positive,mln,up
positive,number,acceler
positive,number,advanc
positive,number,award
positive,number,better
positive,number,climb
positive,number,doubl
positive,number,faster
positive,number,gain
positive,number,grow
positive,number,higher
positive,number,increas
positive,number,jump
positive,number,quicken
positive,number,rebound
positive,number,recov
positive,number,rise
positive,number,rose
positive,number,step-up
positive,number,surg
positive,number,up
positive,group,acceler
positive,group,advanc
positive,group,award
positive,group,better
positive,group,climb
positive,group,doubl
positive,group,faster
positive,group,gain
positive,group,grow
positive,group,higher
positive,group,increas
positive,group,jump
positive,group,quicken
positive,group,rebound
positive,group,recov
positive,group,rise
positive,group,rose
positive,group,step-up
positive,group,surg
positive,group,up
positive,stock,acceler
positive,stock,advanc
positive,stock,award
positive,stock,better
positive,stock,climb
positive,stock,doubl
positive,stock,faster
positive,stock,gain
positive,stock,grow
positive,stock,higher
positive,stock,increas
positive,stock,jump
positive,stock,quicken
positive,stock,rebound
positive,stock,recov
positive,stock,rise
positive,stock,rose
positive,stock,step-up
positive,stock,surg
positive,stock,up
positive,net,acceler
positive,net,advanc
positive,net,award
positive,net,better
positive,net,climb
positive,net,doubl
positive,net,faster
positive,net,gain
positive,net,grow
positive,net,higher
positive,net,increas
positive,net,jump
positive,net,quicken
positive,net,rebound
positive,net,recov
positive,net,rise
positive,net,rose
positive,net,step-up
positive,net,surg
positive,net,up
positive,oyj,acceler
positive,oyj,advanc
positive,oyj,award
positive,oyj,better
positive,oyj,climb
positive,oyj,doubl
positive,oyj,faster
positive,oyj,gain
positive,oyj,grow
positive,oyj,higher
positive,oyj,increas
positive,oyj,jump
positive,oyj,quicken
positive,oyj,rebound
positive,oyj,recov
positive,oyj,rise
positive,oyj,rose
positive,oyj,step-up
positive,oyj,surg
positive,oyj,up
positive,bank,acceler
positive,bank,advanc
positive,bank,award
positive,bank,better
positive,bank,climb
positive,bank,doubl
positive,bank,faster
positive,bank,gain
positive,bank,grow
positive,bank,higher
positive,bank,increas
positive,bank,jump
positive,bank,quicken
positive,bank,rebound
positive,bank,recov
positive,bank,rise
positive,bank,rose
positive,bank,step-up
positive,bank,surg
positive,bank,up
positive,year,acceler
positive,year,advanc
positive,year,award
positive,year,better
positive,year,climb
positive,year,doubl
positive,year,faster
positive,year,gain
positive,year,grow
positive,year,higher
positive,year,increas
positive,year,jump
positive,year,quicken
positive,year,rebound
positive,year,recov
positive,year,rise
positive,year,rose
positive,year,step-up
positive,year,surg
positive,year,up
positive,euro,acceler
positive,euro,advanc
positive,euro,award
positive,euro,better
positive,euro,climb
positive,euro,doubl
positive,euro,faster
positive,euro,gain
positive,euro,grow
positive,euro,higher
positive,euro,increas
positive,euro,jump
positive,euro,quicken
positive,euro,rebound
positive,euro,recov
positive,euro,rise
positive,euro,rose
positive,euro,step-up
positive,euro,surg
positive,euro,up
positive,turnover,acceler
positive,turnover,advanc
positive,turnover,award
positive,turnover,better
positive,turnover,climb
positive,turnover,doubl
positive,turnover,faster
positive,turnover,gain
positive,turnover,grow
positive,turnover,higher
positive,turnover,increas
positive,turnover,jump
positive,turnover,quicken
positive,turnover,rebound
positive,turnover,recov
positive,turnover,rise
positive,turnover,rose
positive,turnover,step-up
positive,turnover,surg
positive,turnover,up
positive,news,acceler
positive,news,advanc
positive,news,award
positive,news,better
positive,news,climb
positive,news,doubl
positive,news,faster
positive,news,gain
positive,news,grow
positive,news,higher
positive,news,increas
positive,news,jump
positive,news,quicken
positive,news,rebound
positive,news,recov
positive,news,rise
positive,news,rose
positive,news,step-up
positive,news,surg
positive,news,up
positive,paper,acceler
positive,paper,advanc
positive,paper,award
positive,paper,better
positive,paper,climb
positive,paper,doubl
positive,paper,faster
positive,paper,gain
positive,paper,grow
positive,paper,higher
positive,paper,increas
positive,paper,jump
positive,paper,quicken
positive,paper,rebound
positive,paper,recov
positive,paper,rise
positive,paper,rose
positive,paper,step-up
positive,paper,surg
positive,paper,up
positive,quarter,acceler
positive,quarter,advanc
positive,quarter,award
positive,quarter,better
positive,quarter,climb
positive,quarter,doubl
positive,quarter,faster
positive,quarter,gain
positive,quarter,grow
positive,quarter,higher
positive,quarter,increas
positive,quarter,jump
positive,quarter,quicken
positive,quarter,rebound
positive,quarter,recov
positive,quarter,rise
positive,quarter,rose
positive,quarter,step-up
positive,quarter,surg
positive,quarter,up
positive,margin,acceler
positive,margin,advanc
positive,margin,award
positive,margin,better
positive,margin,climb
positive,margin,doubl
positive,margin,faster
positive,margin,gain
positive,margin,grow
positive,margin,higher
positive,margin,increas
positive,margin,jump
positive,margin,quicken
positive,margin,rebound
positive,margin,recov
positive,margin,rise
positive,margin,rose
positive,margin,step-up
positive,margin,surg
positive,margin,up
positive,volume,acceler
positive,volume,advanc
positive,volume,award
positive,volume,better
positive,volume,climb
positive,volume,doubl
positive,volume,faster
positive,volume,gain
positive,volume,grow
positive,volume,higher
positive,volume,increas
positive,volume,jump
positive,volume,quicken
positive,volume,rebound
positive,volume,recov
positive,volume,rise
positive,volume,rose
positive,volume,step-up
positive,volume,surg
positive,volume,up
positive,passenger,acceler
positive,passenger,advanc
positive,passenger,award
positive,passenger,better
positive,passenger,climb
positive,passenger,doubl
positive,passenger,faster
positive,passenger,gain
positive,passenger,grow
positive,passenger,higher
positive,passenger,increas
positive,passenger,jump
positive,passenger,quicken
positive,passenger,rebound
positive,passenger,recov
positive,passenger,rise
positive,passenger,rose
positive,passenger,step-up
positive,passenger,surg
positive,passenger,up
positive,revenue,acceler
positive,revenue,advanc
positive,revenue,award
positive,revenue,better
positive,revenue,climb
positive,revenue,doubl
positive,revenue,faster
positive,revenue,gain
positive,revenue,grow
positive,revenue,higher
positive,revenue,increas
positive,revenue,jump
positive,revenue,quicken
positive,revenue,rebound
