headline,label
dixons carphone profit boost on strong sales,positive
intercontinental hotels first quarter global room revenue lags estimates,negative
philip morris bat sue over law taking branding off packs,negative
shire sees baxalta deal closing as expected after new rules,positive
warren buffett defends berkshire hathaway s conglomerate structure,positive
rbs will reportedly appoint howard davies as its next chairman,positive
u s debt lures schroders as ecb depresses rates,positive
astrazeneca and daiichi sankyo to jointly commercialise movantik in the us,positive
diageo sales disappoint as currency and comparatives leave bitter taste,negative
companiescar insurer hastings group driving â£180m ipo,positive
lse deutsche bã¶rse dealmakers wrong to ignore brexit risk,negative
trlpc crh backs lafarge holcim asset buy with 6 5 bln euro bridge loan,positive
bp statoil to withdraw staff from algeria following rocket attack,negative
astrazeneca profit down as sales of stalwarts fade,negative
kinder morgan and bp form joint venture limited liability company to purchase,positive
royal mail chairman donald brydon set to step down,negative
sophos aims to raise $100m in london ipo,positive
astrazeneca suffers setback after drug fails to treat eye cancer,negative
itv share price jumps on report of comcast s nbcuniversal bidding to takeover,positive
whitbread buys 49 stake in pure food chain,positive
ftse rallies off three month low boosted by stanchart sainsbury,positive
tesco share price dips as blinkbox books closes ending supermarket s digital,negative
arm slammed by handset sales outlook,negative
compass group says positive for year ahead,positive
companiesnew aggreko ceo to reshape business strip costs,positive
shell s $70 billion bg deal meets shareholder skepticism,negative
ackman in email says supports valeant ceo pearson,positive
tesco shareholders back itv head for chairman,positive
aviva shuts friends life head office in rapid integration move,negative
persimmon share price climbs on 23 rise in full year revenue,positive
update 5 barclays chairman mcfarlane axes ceo to speed up strategic change,negative
bilfinger industrial services win â£100m bp contract extension,positive
press: serco set to appoint roy gardner ex centrica as chairman ft,positive
bhp billiton slashes dividend posts $5 67 billion net loss,negative
royal mail johnson matthey lead ftse lower,negative
retailers kingfisher and sports direct rise in britain s share index,positive
astrazeneca teams with daiichi sankyo to sell movantik in us,positive
market report: eight day rally ends for ftse 100 and standard chartered,positive
friends life lifts profits 38 and hikes divi ahead of proposed aviva takeover,positive
berkshire applies to boost wells fargo stake above 10 percent,positive
refile hikma and barclays help britain s ftse to climb higher,positive
companies thetrainline com announces arrival of london ipo,positive
tesco sales recover as focus returns to core business,positive
update 1 lloyds to cut 945 jobs as part of 3 year restructuring plan,negative
