headline,label
ab inbev offers sabmiller $3 billion breakup fee,positive
diageo receives reports from united spirits on financial irregularities involving,negative
astrazeneca investment eats into profit,negative
marketsbp promotes upstream boss to deputy ceo,positive
aviva weighs cash handout after beating profit forecast,positive
morrisons helps ftse edge higher energy shares slip,positive
aberdeen asset management gains foothold in china,positive
glencore 2014 profit in line takes $1 1 billion charge on commodity prices,positive
dave lewis paid â£4 1m for first 6 months at tesco,negative
glencore sells agriculture stake for $2 5bn,positive
water utility severn trent ups savings forecast fy profit falls,positive
3g capital warren buffett s favorite partner in deals worth billions,positive
companiestravis perkins lifts dividend earnings rise 15,positive
update 1 rbs raising $3 1 billion through issue of coco bonds,positive
tesco s boss knows which side his bread is buttered,positive
diageo share price: group issues half year update, neutral
britain s power supplies enough to meet winter demand national grid,positive
update 2 ab inbev launches sab bid to sell millercoors stake,negative
tesco sale is asia s biggest private equity deal,positive
bp asks for lower fine in penalty phase of gulf spill trial,negative
smith & nephew 2015 trading profit beats expectations,positive
astrazeneca : fda panel reviews savor study results for onglyza,positive
bhp billiton share price: brazil to sue samarco for â£3 5bn,negative
payout from bp oil spill settlement tops $5 billion,negative
ftse led lower by m&s glaxosmithkline,negative
kingfisher takeover of mr bricolage could hit a brick wall,negative
aggreko says first half profits will be lower as the oil price rout claims its latest victim,negative
associated british foods helps ftse to rebound,positive
industry newsg4s makes positive start to year no new impairments,positive
britain s ftse buoyed by admiral building sector gains,positive
stanchart and rbs struggle in bank of england stress tests,negative
what it takes for royal dutch shell to break even, neutral
norway s sovereign wealth fund says backed shell ceo s pay,positive
oil giant shell to cut around 2800 jobs amid bg takeover,negative
britain s ftse hits three week low as financials tesco fall,negative
tesco shares jump 6 after christmas sales beat expectations,positive
smith & nephew recalls hip replacement components,negative
g4s suspends workers at uk youth centre over allegations of unnecessary force,negative
zurich insurance considering offer for uk rival rsa insurance,positive
we d support hsbc leaving london says standard life,positive
talktalk hires bae systems to investigate cyber attack,positive
standard chartered shares jump most since 12 after upgrades,positive
doubts grow over glaxosmithkline s $6 bln capital return plan,negative
buzz bg group: outperforms sector after record output,positive
barclays settles with us investors over libor manipulation,positive
tesco shareholders back itv head for chairman,positive
glaxo sees hope for respiratory drugs as earnings beat estimates,positive
halfords appoints jonny mason as new cfo, neutral
shell to go ahead with petrochemical plant in pennsylvania,positive
ftse slide halted by bp s â£12bn us settlement london report,negative
aviva m&g suspend property funds as investors panic,negative
rio tinto swings to loss drops dividend policy,negative
press: serco set to appoint roy gardner ex centrica as chairman ft,positive
glaxosmithkline share price slips as fda okays asthma therapy only for adults,negative
centrica prepared for takeover approach chairman,positive
report: financial times up for sale,negative
uk regulators license bat e cigarette as quit smoking medicine,positive
britain s ftse lifted by solid kingfisher,positive
teva first quarter net rises 11 amid mylan takeover battle,positive
glencore to refinance its short term debt early shares rise,positive
intercontinental hotels denies reports of starwood merger talks,negative
protesters gather in seattle to block access to shell oil rig,negative
persimmon reports strong trading despite eu vote and planning delays,positive
uk government cuts stake in lloyds to below 11 pct,negative
government to sell off remaining 14 stake in royal mail,negative
aviva promises higher dividends to boost flagging share price,positive
tesco mobile is offering you cash back in exchange for looking at ads,positive
tesco share price down as grocer faces sfo investigation outcome,negative
press: pearson set to announce sale of financial times reuters,positive
borealis infrastructure putting together new severn trent bid,positive
