headline,label
the order was valued at over eur15m,neutral
aspocomp group headquartered in helsinki finland develops interconnection solutions for the electronics industry,neutral
an international conference call and audio webcast concerning the financial result january march 2010 will begin at 14 00 eet,neutral
according to gallup food and farm facts beef consumption totaled 99mn kilos in finland in 2007,neutral
the transaction is expected to be completed next spring,neutral
cramo plc is a service company specialising in construction machinery and equipment rental and rental related services as well as rental and sale of modular space,neutral
operating profit of the asian plants grew markedly,positive
the contract incorporates a convergent charging rating solution for voice and data which includes internet gprs sms mms and wap,neutral
the company is involved in the the sale of financial products including insurance mortgages car and personal loans financial brokerage and equipment finance leasing,neutral
sales by seppala diminished by 6 per cent,negative
honkarakenne mainly exports large luxury log houses to russia to be used as one family houses or holiday homes ; 70 of sales go to the moscow region about 20 to the st petersburg region and the remainder to other locations,neutral
each year the dividend is deducted from the subscription price,neutral
retail chain suomen l+ñhikauppa was given the index 5 8 airline sas 5 8 teliasonera s broadband 6 1 german retail chain lidl 6 1 tele finland s mobile subscriptions 6 1 tallink shipping line 6 3 and power company helsinki energy 6 3,neutral
20 october 2010 finnish environmental management company lassila & tikanoja oyj hel : lat1v or l&t said monday it expects its operating profit excluding non recurring items for the whole 2010 to be slightly lower than in 2009,negative
the company continued the development of a fully human antibody in its vap 1 antibody program,neutral
liquid handling products include electronic and mechanical pipettes disposable tips as well as pipette maintenance and calibration services for research institutions healthcare and industrial laboratories,neutral
scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics,neutral
finnish pharmaceuticals company orion reports profit before taxes of eur 70 0 mn in the third quarter of 2010 up from eur 54 9 mn in the corresponding period in 2009,positive
the start of the negotiations relating to glaston s efficiency program was announced in october,neutral
the expanded company will continue to be called newpage,neutral
the guidance has been set at 90 basis points over mid swaps the report said,neutral
nokia was up 0 12 pct to 16 70 eur after kicking off the morning in negative territory,positive
operating loss before non recurring items was eur 0 9 mn compared to a profit of eur 11 5 mn in 2008,negative
finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v reported on thursday 7 august an operating profit of eur5 3 m for the period january june 2008 up from eur3 3 m in the corresponding period in 2007,positive
konecranes oyj kcr1v fh fell 5 5 percent to 20 51 euros the biggest fall since june,negative
saunalahti is a part of the elisa group,neutral
the passenger tunnel is expected to be put into operation in 2009,neutral
the approximately 20 000 dwt vessel has been ordered from india,neutral
meanwhile alfa owns 25 1 of megafon through altimo and 4 99 of turkcell via an 18 5 stake in cukurova holding,neutral
revenue grew by 2 percent to x20ac 580 million $ 743 million from x20ac 569 million,positive
the value of the firm s forestry holdings increased by sek 3 6 bn,positive
sanoma also has an executive committee in accordance with the company s articles of association that prepares proposals for matters to be decided or noted by the board of directors,neutral
more than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries,neutral
net sales revenue per passenger is expected to increase,positive
m real which is part of finnish paper maker metsaliitto group is due to release its second quarter report at around 12:00 eet on 5 august 2010,neutral
the order includes 48 ship cranes that will be delivered for 12 container feeders to be built at wenchong shipyard in china,neutral
adp news oct 1 2008 finnish consulting and engineering company poyry oyj omx : poy1v said today it was awarded a eur 5 2 million usd 7 4 m extension to their existing consultancy engineering contract with venezuel,positive
operating profit rose by 26 9 to eur 105 8 83 4 million,positive
finnish media company talentum oyj s net profit decreased to 2 5 mln euro $ 4 0 mln for the first quarter of 2008 from 3 0 mln euro $ 4 7 mln for the same period of 2007,negative
sanoma magazines finland s net sales grew to eur 140 1 mn from eur 131 8 mn,positive
delivery is due in the second half of 2011,neutral
the ebrd is using its own funds to provide a 21 6 mln a loan while the b portion of 10 mln euros has been syndicated to two finnish commercial banks nordea bank finland plc 7 7 mln euros and pohjola bank plc 2 3 mln euros,neutral
the scheme for teliasonera and altimo is practically identical except that it involves the merger of their stakes in vimpelcom and kyivstar,neutral
outotec oyj press release february 19 2008 at 11 00 am outotec has won two large minerals processing technology orders from mirabela mineracao do brasil ltda brazil and from cumerio med jsco bulgaria,positive
no financial details were revealed,neutral
leed is an internationally recognized green building certification system developed by the u s green building council,neutral
ebit margin was up from 1 4 to 5 1,positive
operating profit rose to 22 1 mln eur from 19 9 mln,positive
adp news feb 6 2009 finnish fishing tackle company rapala vmc corp hel : rap1v said today its net profit rose to eur 19 2 million usd 24 6 m for 2008 from eur 17 5 million for 2007,positive
stora enso s business in north america has annual capacity of about 3 million tons and employs about 4 350 people,neutral
the broad based wig index ended thursday s session 0 1 pct up at 65 003 34 pts while the blue chip wig20 was 1 13 down at 3 687 15 pts,neutral
finnish waste management and cleaning group lassila & tikanoja oyj l&t net profit went down to 32 2 mln euro $ 47 7 mln for 2007 from 35 3 mln euro $ 52 3 mln for 2006,negative
rosendal at outotec com eila paatela vice president corporate communications tel +358 20 529 2004 +358 400 817198 e mail eila,neutral
finnish it consultancy satama interactive oyj said on november 13 2006 that jarmo lonnfors took up the position of ceo,neutral
it is being developed by symbian the software licensing consortium led by nokia,neutral
finnish software developer basware oyj said on november 30 2006 its u s subsidiary basware inc won an order to provide software for contract lifecycle management to an unnamed u s medical technology company,positive
subscription sales decreased slightly,negative
target company : tieto corporation business identity code : 0101138 5 date of change in holding : 22 january 2010 portion of the shares and votes : the current group holding of op pohjola group central cooperative opk is 2982 587 shares which represents 4 14 of the shares and voting rights,neutral
helsinki thomson financial shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april june profits which overshadowed the large number of new orders received during the three months,negative
the value of the contract is about eur1 0 m poyry headquartered in vantaa finland provides consulting and engineering services to the energy forestry and infrastructure & environment sectors,neutral
on preliminary estimate the hotel will operate under the brand novotel,neutral
tietoenator was down 1 13 pct to 18 38 extending recent lows after last week s second quarter report dealers said,negative
the center will be built in the kapuli district of mantsala beside the hanko mantsala porvoo road near the new direct rail link between lahti and jarvenpaa,neutral
finnish it consultancy satama interactive oyj posted a net profit of 1 4 mln euro $ 2 0 mln for the first nine months of 2007 compared to a net loss of 462 000 euro $ 664 000 for the same period of 2006,positive
the casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment at least the first side casing member being pivotable about a rotation axis,neutral
an of the invention released by the patent office said : the chambers are pressurized,neutral
the power generated annually by loviisa covers about 10 of finland s electricity consumption,neutral
in penttil+ñ s vision the most important reason for the transaction is russia,neutral
the idea of saving electricity in data transfer is still a new one,neutral
stockmann was established in 1862 in finland and it became the first foreign company to enter russia s retail trade market in 1989,neutral
counter your competitor s strengths and target their weaknesses,neutral
in q1 of 2009 the company s operating loss totalled eur 0 3 mn compared to a profit of eur 3 6 mn in q1 of 2008,negative
he wore a black beanie type cap and a black jacket,neutral
new chairman of the board of directors mr chaim katzman will give a presentation and answer questions,neutral
currently glaston employs approximately 1 500 persons,neutral
kemira headquartered in helsinki finland is an international chemicals group comprising the business areas kemira pulp & paper kemira water kemira specialty and kemira coatings,neutral
together with latvia cramo will operate 54 rental outlets in the baltic states,neutral
the number of class a shares remains unchanged at 9 526 089 shares,neutral
s group s loyal customer magazine yhteishyv+ñ came second with 1 629 000 readers and sanoma corporation s daily newspaper helsingin sanomat was third with 1 097 000 readers,neutral
