headline,label
glaxo sees hope for respiratory drugs as earnings beat estimates,positive
genel shares plunge after tony hayward s oil explorer cuts crude reserves at core field,negative
stanchart may see white knight takeover on painful recovery clsa,negative
bp ends 27 year sponsorship of tate as falling oil price takes toll,negative
randgold resources third quarter profit slips despite record production,negative
aviva friends life top forecasts ahead of 5 6 billion pound merger,positive
companies severn trent expects costs hit from inflation,negative
uk christmas power demand to be lowest in 16 years â€ national grid,negative
berkshire discloses unit s ties to iran opens probe,negative
new bg group ceo helge lund starts earlier than expected,positive
lse deutsche boerse merger would signal end to exchange mega deals,positive
aviva promises higher dividends to boost flagging share price,positive
fda approves nps drug in move validating shire takeover deal,positive
priceline s stock jumps to new high for the year after barclays upgrade,positive
tesco sales recover as focus returns to core business,positive
companiesphilips transfers $900m of pension obligations,positive
investor woodford calls for outsider to head glaxosmithkline,positive
british american tobacco says would fight uk plain packaging law,negative
balfour beatty plc set to reinstate dividend and rival national grid plc and centrica plc once more,positive
old mutual first quarter sales up 18 buoyed by emerging markets,positive
standard chartered not raising capital yet as dividend cut,negative
astrazeneca diabetes drug combination faces delay after fda rebuff,negative
ex barclays traders sentenced to up to six years jail in libor case,negative
astrazeneca chases acerta to secure next cancer drug winner,positive
aberdeen s shares slide as net outflows accelerate,negative
update 1 eu regulator backs approval for gsk injectable asthma drug,positive
royal mail share price edges lower as group raises stamp price,negative
shire to buy nps for $5 2 billion to boost rare disease drugs,positive
the coca cola company and coca cola femsa to acquire ades soy based beverage business from unilever,positive
wolseley helps lift ftse from losses,positive
sports direct boss mike ashley summoned to westminster for questioning over the treatment of workers,negative
intercontinental hotels first quarter global room revenue lags estimates,negative
update 1 pearson expects to grow this year after solid end to 2014,positive
companiescar insurer hastings group driving â£180m ipo,positive
valeant said to name new ceo with pearson still hospitalized,positive
whitbread eyes savings price rises to offset wage rises,positive
shell fined by scottish court for 2011 north sea oil spill,negative
ftse ends higher; 3i group leads after strong earnings,positive
tesco share price: brand guarantee comes under fire,negative
severn trent profit up as customer complaints fall,positive
barclays in $13 75 million us settlement over mutual funds,negative
ftse steadies around 2 month low diageo shares surge,positive
wpp q1 revenue rises over 8 quick facts,positive
morrisons share price: group trading director departs as management cull,negative
aviva m&g suspend property funds as investors panic,negative
tesco s boss knows which side his bread is buttered,positive
rbs warns of higher misconduct charges obstacles ahead,negative
shire in talks with baxalta shareholders,positive
eu drops shell bp statoil from ethanol benchmark investigation,positive
morrisons escapes ftse relegation,positive
brazil vale says will appeal ruling to block assets for dam burst,negative
persimmon revenues lifted 12 by post election confidence,positive
jc penney cuts pension plan obligation,positive
landlord hammerson s nav rises on increased leasing activity,positive
lloyds wins right to buy bonds back early to save 1 billion pounds,positive
standard chartered s shares plunge 7 after fitch downgrade,negative
lloyds banking group s share price lifts amid reports bank is poised to axe hundreds of uk jobs,positive
land securities warns of rent rises,negative
worldpay readies for â£6bn london float,positive
bp cuts capex for third time this year to deal with weak oil,negative
ftse rallies off three month low boosted by stanchart sainsbury,positive
lse deutsche bã¶rse dealmakers wrong to ignore brexit risk,negative
companiescoutts raids jpmorgan chase for new ceo,negative
glencore agrees to sell minority stake in agriculture business,positive
update 1 rio tinto to sell aluminium assets in $1 bln deal paper,positive
valeant names interim leader as ceo remains hospitalized,neutral
global markets stocks gain on royal dutch shell bid oil slumps,positive
rbs and barclays shares temporarily suspended amid heavily losses,negative
brief aviva aims to increase dividend pay out ratio to 50 pct in 2017,positive
british american tobacco accused of bribing senior politicians to sabotage,negative
primark racks up a happy christmas after strong sales,positive
legal & general share price: finance chief to step down,negative
us seeks huawei records on dealings with sanctioned nations,negative
bp pay boss feels the heat from revolt over dudley s â£14 million,negative
companiesnational grid lines up sale of gas business,positive
standard chartered rbs escape capital raising in stress test,positive
companiesastrazeneca wins nod for blockbuster hopeful,positive
bp signs $12 billion energy deal in egypt,positive
companiesdiageo moves cfo to lead north american business,neutral
new morrisons duo get former boss s support to diffuse investor tension,positive
rolls royce to ensure compliance after petrobras bribery report,negative
aldi and lidl expansion plans speed ahead as tesco sainsbury s morrisons,positive
