headline,label
both operating profit and turnover for the six month period increased respectively from eur0 1 m and eur29 0 m as compared to the corresponding period a year ago,positive
a spokesperson told wwd to expect a 50 50 mix of clothing and home decor,neutral
the new majority owners of aspocomp thailand co ltd are certain private persons belonging to immediate circle of aspocomp s present joint venture partner saha pathana inter holding plc,neutral
results are expected late in 2006,neutral
the competition was received with great enthusiasm by the employees he goes on,positive
biotie north american licensing partner somaxon pharmaceuticals started a phase ii iii clinical study in patients suffering from pathological gambling and a pilot phase ii study in nicotine addiction smoking cessation,neutral
the report profiles 158 companies including many key and niche players including major nonwovens manufacturers such as ahlstrom corporation asahi kasei corporation buckeye technologies inc ei,neutral
return on capital employed rose by 4 8 percentage points to 19 6,positive
the group s revenue in 2009 amounted to eur 70 million and the company currently employs approximately 780 people,neutral
capman an asset manager has eur 3bn worth of assets under management in the nordic region,neutral
shareholder s full name and id code : petri ailus born 15 9 1966 for further information please contact isto hantila ceo tel +358 9 591 8342,neutral
with capman as a partner we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers says christopher wynne ceo of papa john s russia,positive
finnish high technology provider vaahto group reports net sales of eur 41 8 mn in the accounting period september 2007 february 2008 an increase of 11 2 from a year earlier,positive
curators have divided their material into eight themes,neutral
elcoteq se stock exchange announcement february 4 2009 at 10 00 am eet elcoteq will publish its financial statements bulletin 2008 on wednesday february 11 at 9 00 am eet,neutral
companiesandmarkets com provides a wide range of research reports industry statistics and competitive intelligence on the industrial sector,neutral
the orders are part of a long term development plan of latvijas finieris,neutral
the selling consortium includes funds managed by oko bank s venture capital unit bio fund management and finnish industry investment a government owned investment group,neutral
cash flow from operations for the most recent quarter also reached a eight year low,negative
with this new version it is very important for us to introduce a bim process that is based on the detailed building information model,neutral
rapala fishing frenzy 2009,neutral
the internal revenue service sees about 20 percent of all taxpayers wait until the last two weeks to file with about 40 million returns filed in april,neutral
finnish metal components supplier componenta oyj said its net profit went up to 3 5 mln euro $ 4 5 mln in 2006 from 2 2 mln euro $ 2 8 mln in 2005,positive
finnish handling systems company cargotec oyj hel : cgcbv said today that it won a eur 13 million usd 16 6 m contract to deliver macgregor hatch covers for ships ordered by norwegian shipowner grieg shipping,positive
the first phase will be completed by the end of 2012,neutral
hk ruokatalo produces many turkey products such as cold cuts,neutral
componenta has production lines for similar sized products at karkkila in finland at weert in the netherlands and at orhangazi in turkey and these had a combined output of approximately 100 000 tonnes and net sales of eur 135 million in 2007,neutral
pretax profit totaled eur 4 9 mn compared to eur 5 2 mn in the first quarter of 2005,negative
in april june 2008 scanfil s net sales totalled eur 58 7 mn and operating profit eur 6 6 mn,neutral
by the end of 2006 the number of joint branch offices will total 170,neutral
by combining its existing solutions into a single platform comptel said that it has reduced the cost of deployment,positive
however the proportion of the paid standing orders grew in 2009,positive
both operating profit and net sales for the six month period increased respectively from eur0 4 m and eur3 2 m as compared to the corresponding period in 2005,positive
according to the finnish russian chamber of commerce all the major construction companies of finland are operating in russia,neutral
consolidated operating profit from continuing operations decreased by 62 3 to eur 51 2 mn from eur 135 7 mn in 2007,negative
a total of 185 wonderware certified sis are available to integrate and support wonderware products such as intouch « hmi software industrialsql server historian wonderware information server dt analyst software or qi analyst spc software,neutral
coffee will be served starting at 14:30 eet as well as after the event,neutral
these developments partly reflect the government s higher activity in the field of dividend policy,neutral
france t+®l+®com spent more time studying teliasonera than other potential takeover targets because it has a shareholder that wants to sell pellissier said,neutral
the airline has ordered nine airbus a350 900 aircraft with deliveries from 2011 and in doing so becomes the lead airline for the latest variant of rolls royce trent series engines called the 1700,positive
production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board,positive
in the financial statement for the first quarter of 2010 tikkurila is reported under discontinued operations,neutral
the network test business is part of elektrobit s test and automation business segment and employs 39 people in finland and 22 people abroad mainly in the us and asia,neutral
in the baltic countries sales fell by 40 2 and in russia by 23 2 in terms of euros and by 10 7 in terms of local currency,negative
according to pkc the acquisition would bring a significant addition to pkc s customer base,positive
zao yit moskovia builds housing in moscow and its surrounding cities,neutral
production at the plant will be based on neste oil s proprietary technology that can use a flexible input of any vegetable oil or animal fat,neutral
the ship unloader is totally enclosed along the entire conveying line to the storage facilities,neutral
national sponsors for the big read include national endowment for the arts in cooperation with the institute of museum and library services and arts midwest,neutral
the company can not give up palm oil altogether however,neutral
the office space will rise above the remodeled cannon street underground station,neutral
finnish metal products company componenta oyj hel : cth1v said today its net loss narrowed to eur 500 000 usd 680 000 in the last quarter of 2010 from eur 5 3 million for the same period a year earlier,positive
huhtamaki s rigid plastic consumer goods operations which are mainly in europe will be separated into a new reporting segment as of 1 january 2009,neutral
however the total orders received will still be above last year s levels,positive
the maximum number of new shares to be offered is 22 million,neutral
neste oil s refineries have a combined crude oil refining capacity of approximately 260 000 barrels a day,neutral
however the bottom line result improved thanks to positive financial items,positive
the issuer is solely responsible for the content of this announcement,neutral
