direction_dependency,entity,score
proportional,investment,1.03125
proportional,sale,1.03125
proportional,month,1.03125
proportional,metal,1.03125
proportional,profit,1.03125
proportional,use,1.03125
proportional,news,1.03125
proportional,quarter,1.03125
proportional,contract,1.03125
proportional,group,1.03125
proportional,demand,1.03125
proportional,beer,1.03125
proportional,business,1.03125
proportional,percent,1.03125
proportional,income,1.03125
proportional,passenger,1.03125
proportional,technology,1.03125
proportional,september,1.03125
proportional,management,1.03125
proportional,earnings,1.03125
proportional,phone,1.03125
proportional,revenue,1.03125
inversely_proportional,construction,-11.0
proportional,year,1.03125
proportional,volume,1.03125
proportional,net,1.03125
inversely_proportional,cost,-17.76923076923077
proportional,mln,1.03125
proportional,turnover,1.03125
proportional,solution,1.03125
inversely_proportional,share,-1.1578947368421053
proportional,capital,1.03125
proportional,liter,1.03125
proportional,interest,1.03125
proportional,june,1.03125
proportional,product,1.03125
proportional,order,1.03125
proportional,maker,1.03125
proportional,manufacturer,1.03125
proportional,margin,1.03125
proportional,finnair,1.03125
proportional,eps,1.03125
proportional,cent,1.03125
proportional,service,1.03125
proportional,trade,1.03125
proportional,communication,1.03125
proportional,item,1.03125
proportional,oyj,1.03125
proportional,system,1.03125
proportional,period,1.03125
proportional,eur,1.015625
proportional,medium,1.03125
proportional,traffic,1.03125
proportional,tax,1.03125
proportional,electronics,1.03125
proportional,report,1.03125
proportional,currency,1.03125
proportional,end,1.03125
inversely_proportional,company,-1.523076923076923
inversely_proportional,price,-5.5
proportional,efficiency,1.03125
proportional,growth,1.03125
inversely_proportional,day,-9.428571428571429
